都道府県コード,都道府県名,計,年月日
JP-05,秋田県,1580,2011-11-17
JP-06,山形県,13516,2011-11-17
JP-07,福島県,94343,2011-11-17
JP-08,茨城県,3023,2011-11-17
JP-09,栃木県,2697,2011-11-17
JP-10,群馬県,2033,2011-11-17
JP-11,埼玉県,4921,2011-11-17
JP-12,千葉県,3675,2011-11-17
JP-13,東京都,8869,2011-11-17
JP-14,神奈川県,2087,2011-11-17
JP-15,新潟県,6982,2011-11-17
JP-16,富山県,437,2011-11-17
JP-17,石川県,540,2011-11-17
JP-18,福井県,489,2011-11-17
JP-19,山梨県,835,2011-11-17
JP-20,長野県,1167,2011-11-17
JP-21,岐阜県,423,2011-11-17
JP-22,静岡県,1448,2011-11-17
JP-23,愛知県,1252,2011-11-17
JP-24,三重県,189,2011-11-17
JP-25,滋賀県,403,2011-11-17
JP-26,京都府,1049,2011-11-17
JP-27,大阪府,1411,2011-11-17
JP-28,兵庫県,1072,2011-11-17
JP-29,奈良県,156,2011-11-17
JP-30,和歌山県,119,2011-11-17
JP-31,鳥取県,172,2011-11-17
JP-32,島根県,145,2011-11-17
JP-33,岡山県,495,2011-11-17
JP-34,広島県,496,2011-11-17
JP-35,山口県,199,2011-11-17
JP-36,徳島県,161,2011-11-17
JP-37,香川県,90,2011-11-17
JP-38,愛媛県,266,2011-11-17
JP-39,高知県,134,2011-11-17
JP-40,福岡県,711,2011-11-17
JP-41,佐賀県,309,2011-11-17
JP-42,長崎県,187,2011-11-17
JP-43,熊本県,264,2011-11-17
JP-44,大分県,372,2011-11-17
JP-45,宮崎県,245,2011-11-17
JP-46,鹿児島県,268,2011-11-17
JP-47,沖縄県,820,2011-11-17
JP-01,北海道,3011,2011-12-01
JP-02,青森県,1098,2011-12-01
JP-03,岩手県,43953,2011-12-01
JP-04,宮城県,122557,2011-12-01
JP-05,秋田県,1575,2011-12-01
JP-06,山形県,13770,2011-12-01
JP-07,福島県,95200,2011-12-01
JP-08,茨城県,3168,2011-12-01
JP-09,栃木県,2654,2011-12-01
JP-10,群馬県,2057,2011-12-01
JP-11,埼玉県,4916,2011-12-01
JP-12,千葉県,3671,2011-12-01
JP-13,東京都,8973,2011-12-01
JP-14,神奈川県,2407,2011-12-01
JP-15,新潟県,7092,2011-12-01
JP-16,富山県,419,2011-12-01
JP-17,石川県,537,2011-12-01
JP-18,福井県,490,2011-12-01
JP-19,山梨県,818,2011-12-01
JP-20,長野県,1151,2011-12-01
JP-21,岐阜県,419,2011-12-01
JP-22,静岡県,1457,2011-12-01
JP-23,愛知県,1248,2011-12-01
JP-24,三重県,441,2011-12-01
JP-25,滋賀県,395,2011-12-01
JP-26,京都府,1044,2011-12-01
JP-27,大阪府,1438,2011-12-01
JP-28,兵庫県,1065,2011-12-01
JP-29,奈良県,157,2011-12-01
JP-30,和歌山県,120,2011-12-01
JP-31,鳥取県,173,2011-12-01
JP-32,島根県,149,2011-12-01
JP-33,岡山県,534,2011-12-01
JP-34,広島県,501,2011-12-01
JP-35,山口県,192,2011-12-01
JP-36,徳島県,161,2011-12-01
JP-37,香川県,90,2011-12-01
JP-38,愛媛県,266,2011-12-01
JP-39,高知県,133,2011-12-01
JP-40,福岡県,712,2011-12-01
JP-41,佐賀県,307,2011-12-01
JP-42,長崎県,183,2011-12-01
JP-43,熊本県,278,2011-12-01
JP-44,大分県,367,2011-12-01
JP-45,宮崎県,248,2011-12-01
JP-46,鹿児島県,267,2011-12-01
JP-47,沖縄県,829,2011-12-01
JP-01,北海道,3023,2011-12-15
JP-02,青森県,1102,2011-12-15
JP-03,岩手県,43812,2011-12-15
JP-04,宮城県,123927,2011-12-15
JP-05,秋田県,1564,2011-12-15
JP-06,山形県,13711,2011-12-15
JP-07,福島県,95546,2011-12-15
JP-08,茨城県,3263,2011-12-15
JP-09,栃木県,2619,2011-12-15
JP-10,群馬県,2093,2011-12-15
JP-11,埼玉県,4914,2011-12-15
JP-12,千葉県,3602,2011-12-15
JP-13,東京都,9033,2011-12-15
JP-14,神奈川県,2743,2011-12-15
JP-15,新潟県,7095,2011-12-15
JP-16,富山県,417,2011-12-15
JP-17,石川県,530,2011-12-15
JP-18,福井県,492,2011-12-15
JP-19,山梨県,826,2011-12-15
JP-20,長野県,1146,2011-12-15
JP-21,岐阜県,424,2011-12-15
JP-22,静岡県,1465,2011-12-15
JP-23,愛知県,1255,2011-12-15
JP-24,三重県,423,2011-12-15
JP-25,滋賀県,390,2011-12-15
JP-26,京都府,1052,2011-12-15
JP-27,大阪府,1447,2011-12-15
JP-28,兵庫県,1068,2011-12-15
JP-29,奈良県,157,2011-12-15
JP-30,和歌山県,123,2011-12-15
JP-31,鳥取県,175,2011-12-15
JP-32,島根県,146,2011-12-15
JP-33,岡山県,580,2011-12-15
JP-34,広島県,507,2011-12-15
JP-35,山口県,192,2011-12-15
JP-36,徳島県,165,2011-12-15
JP-37,香川県,98,2011-12-15
JP-38,愛媛県,270,2011-12-15
JP-39,高知県,133,2011-12-15
JP-40,福岡県,736,2011-12-15
JP-41,佐賀県,313,2011-12-15
JP-42,長崎県,181,2011-12-15
JP-43,熊本県,287,2011-12-15
JP-44,大分県,366,2011-12-15
JP-45,宮崎県,246,2011-12-15
JP-46,鹿児島県,266,2011-12-15
JP-47,沖縄県,863,2011-12-15
JP-01,北海道,3017,2012-01-12
JP-02,青森県,1116,2012-01-12
JP-03,岩手県,43875,2012-01-12
JP-04,宮城県,125008,2012-01-12
JP-05,秋田県,1571,2012-01-12
JP-06,山形県,13723,2012-01-12
JP-07,福島県,96835,2012-01-12
JP-08,茨城県,3548,2012-01-12
JP-09,栃木県,2776,2012-01-12
JP-10,群馬県,2048,2012-01-12
JP-11,埼玉県,4825,2012-01-12
JP-12,千葉県,3643,2012-01-12
JP-13,東京都,9106,2012-01-12
JP-14,神奈川県,2852,2012-01-12
JP-15,新潟県,7081,2012-01-12
JP-16,富山県,398,2012-01-12
JP-17,石川県,519,2012-01-12
JP-18,福井県,475,2012-01-12
JP-19,山梨県,833,2012-01-12
JP-20,長野県,1174,2012-01-12
JP-21,岐阜県,427,2012-01-12
JP-22,静岡県,1437,2012-01-12
JP-23,愛知県,1262,2012-01-12
JP-24,三重県,425,2012-01-12
JP-25,滋賀県,391,2012-01-12
JP-26,京都府,1050,2012-01-12
JP-27,大阪府,1465,2012-01-12
JP-28,兵庫県,1056,2012-01-12
JP-29,奈良県,151,2012-01-12
JP-30,和歌山県,129,2012-01-12
JP-31,鳥取県,181,2012-01-12
JP-32,島根県,145,2012-01-12
JP-33,岡山県,619,2012-01-12
JP-34,広島県,521,2012-01-12
JP-35,山口県,196,2012-01-12
JP-36,徳島県,165,2012-01-12
