都道府県コード,都道府県名,計,年月日
JP-31,鳥取県,196,2013-05-09
JP-32,島根県,131,2013-05-09
JP-33,岡山県,948,2013-05-09
JP-34,広島県,555,2013-05-09
JP-35,山口県,158,2013-05-09
JP-36,徳島県,85,2013-05-09
JP-37,香川県,97,2013-05-09
JP-38,愛媛県,191,2013-05-09
JP-39,高知県,130,2013-05-09
JP-40,福岡県,731,2013-05-09
JP-41,佐賀県,248,2013-05-09
JP-42,長崎県,144,2013-05-09
JP-43,熊本県,397,2013-05-09
JP-44,大分県,291,2013-05-09
JP-45,宮崎県,267,2013-05-09
JP-46,鹿児島県,245,2013-05-09
JP-47,沖縄県,1006,2013-05-09
JP-01,北海道,2839,2013-06-06
JP-02,青森県,919,2013-06-06
JP-03,岩手県,38780,2013-06-06
JP-04,宮城県,101328,2013-06-06
JP-05,秋田県,1179,2013-06-06
JP-06,山形県,9083,2013-06-06
JP-07,福島県,93915,2013-06-06
JP-08,茨城県,5325,2013-06-06
JP-09,栃木県,3073,2013-06-06
JP-10,群馬県,1663,2013-06-06
JP-11,埼玉県,3497,2013-06-06
JP-12,千葉県,4020,2013-06-06
JP-13,東京都,8875,2013-06-06
JP-14,神奈川県,2576,2013-06-06
JP-15,新潟県,5223,2013-06-06
JP-16,富山県,296,2013-06-06
JP-17,石川県,445,2013-06-06
JP-18,福井県,278,2013-06-06
JP-19,山梨県,800,2013-06-06
JP-20,長野県,1233,2013-06-06
JP-21,岐阜県,319,2013-06-06
JP-22,静岡県,1092,2013-06-06
JP-23,愛知県,1236,2013-06-06
JP-24,三重県,496,2013-06-06
JP-25,滋賀県,337,2013-06-06
JP-26,京都府,980,2013-06-06
JP-27,大阪府,1132,2013-06-06
JP-28,兵庫県,992,2013-06-06
JP-29,奈良県,173,2013-06-06
JP-30,和歌山県,103,2013-06-06
JP-31,鳥取県,190,2013-06-06
JP-32,島根県,131,2013-06-06
JP-33,岡山県,992,2013-06-06
JP-34,広島県,550,2013-06-06
JP-35,山口県,158,2013-06-06
JP-36,徳島県,75,2013-06-06
JP-37,香川県,97,2013-06-06
JP-38,愛媛県,191,2013-06-06
JP-39,高知県,130,2013-06-06
JP-40,福岡県,726,2013-06-06
JP-41,佐賀県,242,2013-06-06
JP-42,長崎県,138,2013-06-06
JP-43,熊本県,397,2013-06-06
JP-44,大分県,294,2013-06-06
JP-45,宮崎県,268,2013-06-06
JP-46,鹿児島県,245,2013-06-06
JP-47,沖縄県,1002,2013-06-06
JP-01,北海道,2817,2013-07-04
JP-02,青森県,871,2013-07-04
JP-03,岩手県,38246,2013-07-04
JP-04,宮城県,99554,2013-07-04
JP-05,秋田県,1164,2013-07-04
JP-06,山形県,8669,2013-07-04
JP-07,福島県,92770,2013-07-04
JP-08,茨城県,5269,2013-07-04
JP-09,栃木県,3092,2013-07-04
JP-10,群馬県,1633,2013-07-04
JP-11,埼玉県,3403,2013-07-04
JP-12,千葉県,4030,2013-07-04
JP-13,東京都,8851,2013-07-04
JP-14,神奈川県,2561,2013-07-04
JP-15,新潟県,5164,2013-07-04
JP-16,富山県,296,2013-07-04
JP-17,石川県,441,2013-07-04
JP-18,福井県,278,2013-07-04
JP-19,山梨県,800,2013-07-04
JP-20,長野県,1221,2013-07-04
JP-21,岐阜県,315,2013-07-04
JP-22,静岡県,1087,2013-07-04
JP-23,愛知県,1240,2013-07-04
JP-24,三重県,496,2013-07-04
JP-25,滋賀県,330,2013-07-04
JP-26,京都府,982,2013-07-04
JP-27,大阪府,1124,2013-07-04
JP-28,兵庫県,974,2013-07-04
JP-29,奈良県,173,2013-07-04
JP-30,和歌山県,103,2013-07-04
JP-31,鳥取県,194,2013-07-04
JP-32,島根県,131,2013-07-04
JP-33,岡山県,1016,2013-07-04
JP-34,広島県,533,2013-07-04
JP-35,山口県,157,2013-07-04
JP-36,徳島県,73,2013-07-04
JP-37,香川県,97,2013-07-04
JP-38,愛媛県,191,2013-07-04
JP-39,高知県,127,2013-07-04
JP-40,福岡県,727,2013-07-04
JP-41,佐賀県,236,2013-07-04
JP-42,長崎県,148,2013-07-04
JP-43,熊本県,401,2013-07-04
JP-44,大分県,290,2013-07-04
JP-45,宮崎県,268,2013-07-04
JP-46,鹿児島県,245,2013-07-04
JP-47,沖縄県,994,2013-07-04
JP-01,北海道,2813,2013-08-12
JP-02,青森県,858,2013-08-12
JP-03,岩手県,37852,2013-08-12
JP-04,宮城県,97715,2013-08-12
JP-05,秋田県,1151,2013-08-12
JP-06,山形県,7974,2013-08-12
JP-07,福島県,91998,2013-08-12
JP-08,茨城県,5223,2013-08-12
JP-09,栃木県,3082,2013-08-12
JP-10,群馬県,1606,2013-08-12
JP-11,埼玉県,3342,2013-08-12
JP-12,千葉県,4026,2013-08-12
JP-13,東京都,8828,2013-08-12
JP-14,神奈川県,2515,2013-08-12
JP-15,新潟県,5080,2013-08-12
JP-16,富山県,290,2013-08-12
JP-17,石川県,435,2013-08-12
JP-18,福井県,277,2013-08-12
JP-19,山梨県,795,2013-08-12
JP-20,長野県,1210,2013-08-12
JP-21,岐阜県,315,2013-08-12
JP-22,静岡県,1086,2013-08-12
JP-23,愛知県,1239,2013-08-12
JP-24,三重県,500,2013-08-12
JP-25,滋賀県,322,2013-08-12
JP-26,京都府,954,2013-08-12
JP-27,大阪府,1123,2013-08-12
JP-28,兵庫県,972,2013-08-12
JP-29,奈良県,174,2013-08-12
JP-30,和歌山県,101,2013-08-12
JP-31,鳥取県,183,2013-08-12
JP-32,島根県,127,2013-08-12
JP-33,岡山県,998,2013-08-12
JP-34,広島県,523,2013-08-12
JP-35,山口県,158,2013-08-12
JP-36,徳島県,76,2013-08-12
JP-37,香川県,98,2013-08-12
JP-38,愛媛県,189,2013-08-12
JP-39,高知県,124,2013-08-12
JP-40,福岡県,726,2013-08-12
JP-41,佐賀県,227,2013-08-12
JP-42,長崎県,144,2013-08-12
JP-43,熊本県,401,2013-08-12
JP-44,大分県,272,2013-08-12
JP-45,宮崎県,272,2013-08-12
JP-46,鹿児島県,244,2013-08-12
JP-47,沖縄県,993,2013-08-12
JP-01,北海道,2798,2013-09-12
JP-02,青森県,825,2013-09-12
JP-03,岩手県,37370,2013-09-12
JP-04,宮城県,96330,2013-09-12
JP-05,秋田県,1138,2013-09-12
JP-06,山形県,7325,2013-09-12
JP-07,福島県,91392,2013-09-12
JP-08,茨城県,5123,2013-09-12
JP-09,栃木県,3080,2013-09-12
JP-10,群馬県,1603,2013-09-12
JP-11,埼玉県,3222,2013-09-12
JP-12,千葉県,4031,2013-09-12
JP-13,東京都,8797,2013-09-12
JP-14,神奈川県,2502,2013-09-12
JP-15,新潟県,5022,2013-09-12
JP-16,富山県,288,2013-09-12
JP-17,石川県,414,2013-09-12
JP-18,福井県,277,2013-09-12
JP-19,山梨県,799,2013-09-12
JP-20,長野県,1206,2013-09-12
JP-21,岐阜県,313,2013-09-12
JP-22,静岡県,1084,2013-09-12
JP-23,愛知県,1230,2013-09-12
JP-24,三重県,497,2013-09-12
JP-25,滋賀県,317,2013-09-12
JP-26,京都府,959,2013-09-12
JP-27,大阪府,1123,2013-09-12
JP-28,兵庫県,957,2013-09-12
JP-29,奈良県,170,2013-09-12
JP-30,和歌山県,101,2013-09-12
JP-31,鳥取県,183,2013-09-12
JP-32,島根県,127,2013-09-12
JP-33,岡山県,1011,2013-09-12
JP-34,広島県,511,2013-09-12
JP-35,山口県,148,2013-09-12
JP-36,徳島県,73,2013-09-12
JP-37,香川県,98,2013-09-12
JP-38,愛媛県,185,2013-09-12
JP-39,高知県,124,2013-09-12
JP-40,福岡県,725,2013-09-12
JP-41,佐賀県,220,2013-09-12
JP-42,長崎県,144,2013-09-12
JP-43,熊本県,398,2013-09-12
JP-44,大分県,267,2013-09-12
JP-45,宮崎県,271,2013-09-12
JP-46,鹿児島県,239,2013-09-12
JP-47,沖縄県,989,2013-09-12
JP-01,北海道,2787,2013-10-10
JP-02,青森県,814,2013-10-10
JP-03,岩手県,36825,2013-10-10
JP-04,宮城県,95163,2013-10-10
JP-05,秋田県,1137,2013-10-10
JP-06,山形県,7033,2013-10-10
JP-07,福島県,89924,2013-10-10
JP-08,茨城県,5047,2013-10-10
JP-09,栃木県,3050,2013-10-10
JP-10,群馬県,1590,2013-10-10
JP-11,埼玉県,3178,2013-10-10
JP-12,千葉県,4043,2013-10-10
JP-13,東京都,8731,2013-10-10
JP-14,神奈川県,2487,2013-10-10
JP-15,新潟県,4966,2013-10-10
JP-16,富山県,288,2013-10-10
JP-17,石川県,411,2013-10-10
JP-18,福井県,275,2013-10-10
JP-19,山梨県,799,2013-10-10
JP-20,長野県,1198,2013-10-10
JP-21,岐阜県,313,2013-10-10
JP-22,静岡県,1104,2013-10-10
JP-23,愛知県,1233,2013-10-10
JP-24,三重県,488,2013-10-10
JP-25,滋賀県,317,2013-10-10
JP-26,京都府,965,2013-10-10
JP-27,大阪府,1007,2013-10-10
JP-28,兵庫県,951,2013-10-10
JP-29,奈良県,169,2013-10-10
JP-30,和歌山県,101,2013-10-10
JP-31,鳥取県,185,2013-10-10
JP-32,島根県,126,2013-10-10
JP-33,岡山県,1014,2013-10-10
JP-34,広島県,511,2013-10-10
JP-35,山口県,155,2013-10-10
JP-36,徳島県,74,2013-10-10
JP-37,香川県,97,2013-10-10
JP-38,愛媛県,185,2013-10-10
JP-39,高知県,124,2013-10-10
JP-40,福岡県,725,2013-10-10
JP-41,佐賀県,216,2013-10-10
JP-42,長崎県,144,2013-10-10
JP-43,熊本県,398,2013-10-10
JP-44,大分県,267,2013-10-10
JP-45,宮崎県,262,2013-10-10
JP-46,鹿児島県,236,2013-10-10
JP-47,沖縄県,998,2013-10-10
JP-01,北海道,2774,2013-11-14
JP-02,青森県,807,2013-11-14
JP-03,岩手県,36348,2013-11-14
JP-04,宮城県,93675,2013-11-14
JP-05,秋田県,1117,2013-11-14
JP-06,山形県,6518,2013-11-14
JP-07,福島県,88654,2013-11-14
JP-08,茨城県,5008,2013-11-14
JP-09,栃木県,3040,2013-11-14
JP-10,群馬県,1586,2013-11-14
JP-11,埼玉県,3092,2013-11-14
JP-12,千葉県,4026,2013-11-14
JP-13,東京都,8355,2013-11-14
JP-14,神奈川県,2450,2013-11-14
JP-15,新潟県,4898,2013-11-14
JP-16,富山県,287,2013-11-14
JP-17,石川県,411,2013-11-14
JP-18,福井県,272,2013-11-14
JP-19,山梨県,796,2013-11-14
JP-20,長野県,1187,2013-11-14
JP-21,岐阜県,307,2013-11-14
JP-22,静岡県,1099,2013-11-14
JP-23,愛知県,1229,2013-11-14
JP-24,三重県,488,2013-11-14
JP-25,滋賀県,314,2013-11-14
JP-26,京都府,966,2013-11-14
JP-27,大阪府,1006,2013-11-14
JP-28,兵庫県,949,2013-11-14
JP-29,奈良県,168,2013-11-14
JP-30,和歌山県,101,2013-11-14
JP-31,鳥取県,184,2013-11-14
JP-32,島根県,126,2013-11-14
JP-33,岡山県,1013,2013-11-14
JP-34,広島県,507,2013-11-14
JP-35,山口県,152,2013-11-14
JP-36,徳島県,74,2013-11-14
JP-37,香川県,99,2013-11-14
JP-38,愛媛県,185,2013-11-14
JP-39,高知県,124,2013-11-14
JP-40,福岡県,718,2013-11-14
JP-41,佐賀県,216,2013-11-14
JP-42,長崎県,145,2013-11-14
JP-43,熊本県,398,2013-11-14
JP-44,大分県,261,2013-11-14
JP-45,宮崎県,262,2013-11-14
JP-46,鹿児島県,232,2013-11-14
JP-47,沖縄県,985,2013-11-14
JP-01,北海道,2728,2013-12-12
JP-02,青森県,798,2013-12-12
JP-03,岩手県,35925,2013-12-12
JP-04,宮城県,92290,2013-12-12
JP-05,秋田県,1113,2013-12-12
JP-06,山形県,6356,2013-12-12
JP-07,福島県,87712,2013-12-12
JP-08,茨城県,5003,2013-12-12
JP-09,栃木県,3042,2013-12-12
JP-10,群馬県,1577,2013-12-12
JP-11,埼玉県,3054,2013-12-12
JP-12,千葉県,3976,2013-12-12
JP-13,東京都,8048,2013-12-12
JP-14,神奈川県,2425,2013-12-12
JP-15,新潟県,4863,2013-12-12
JP-16,富山県,287,2013-12-12
JP-17,石川県,406,2013-12-12
JP-18,福井県,270,2013-12-12
JP-19,山梨県,795,2013-12-12
JP-20,長野県,1183,2013-12-12
JP-21,岐阜県,310,2013-12-12
JP-22,静岡県,1088,2013-12-12
JP-23,愛知県,1208,2013-12-12
JP-24,三重県,488,2013-12-12
JP-25,滋賀県,315,2013-12-12
JP-26,京都府,958,2013-12-12
JP-27,大阪府,999,2013-12-12
JP-28,兵庫県,941,2013-12-12
JP-29,奈良県,168,2013-12-12
JP-30,和歌山県,101,2013-12-12
JP-31,鳥取県,185,2013-12-12
JP-32,島根県,129,2013-12-12
JP-33,岡山県,1027,2013-12-12
JP-34,広島県,494,2013-12-12
JP-35,山口県,148,2013-12-12
JP-36,徳島県,73,2013-12-12
JP-37,香川県,98,2013-12-12
JP-38,愛媛県,185,2013-12-12
JP-39,高知県,124,2013-12-12
JP-40,福岡県,718,2013-12-12
JP-41,佐賀県,213,2013-12-12
JP-42,長崎県,144,2013-12-12
JP-43,熊本県,398,2013-12-12
JP-44,大分県,254,2013-12-12
JP-45,宮崎県,260,2013-12-12
JP-46,鹿児島県,231,2013-12-12
JP-47,沖縄県,980,2013-12-12
JP-01,北海道,2725,2014-01-16
JP-02,青森県,791,2014-01-16
JP-03,岩手県,35238,2014-01-16
JP-04,宮城県,91002,2014-01-16
JP-05,秋田県,1092,2014-01-16
JP-06,山形県,6177,2014-01-16
JP-07,福島県,86578,2014-01-16
JP-08,茨城県,4970,2014-01-16
JP-09,栃木県,3031,2014-01-16
JP-10,群馬県,1564,2014-01-16
JP-11,埼玉県,2971,2014-01-16
JP-12,千葉県,3963,2014-01-16
JP-13,東京都,8033,2014-01-16
JP-14,神奈川県,2390,2014-01-16
JP-15,新潟県,4814,2014-01-16
JP-16,富山県,284,2014-01-16
JP-17,石川県,403,2014-01-16
JP-18,福井県,270,2014-01-16
JP-19,山梨県,755,2014-01-16
JP-20,長野県,1177,2014-01-16
JP-21,岐阜県,314,2014-01-16
JP-22,静岡県,1086,2014-01-16
JP-23,愛知県,1202,2014-01-16
JP-24,三重県,490,2014-01-16
JP-25,滋賀県,305,2014-01-16
JP-26,京都府,924,2014-01-16
JP-27,大阪府,966,2014-01-16
JP-28,兵庫県,932,2014-01-16
JP-29,奈良県,168,2014-01-16
JP-30,和歌山県,101,2014-01-16
JP-31,鳥取県,181,2014-01-16
JP-32,島根県,126,2014-01-16
JP-33,岡山県,1032,2014-01-16
JP-34,広島県,471,2014-01-16
JP-35,山口県,148,2014-01-16
JP-36,徳島県,73,2014-01-16
JP-37,香川県,98,2014-01-16
JP-38,愛媛県,185,2014-01-16
JP-39,高知県,106,2014-01-16
JP-40,福岡県,703,2014-01-16
JP-41,佐賀県,213,2014-01-16
JP-42,長崎県,144,2014-01-16
JP-43,熊本県,398,2014-01-16
JP-44,大分県,254,2014-01-16
JP-45,宮崎県,255,2014-01-16
JP-46,鹿児島県,230,2014-01-16
JP-47,沖縄県,973,2014-01-16
JP-01,北海道,2719,2014-02-13
JP-02,青森県,785,2014-02-13
JP-03,岩手県,34847,2014-02-13
JP-04,宮城県,89882,2014-02-13
JP-05,秋田県,1088,2014-02-13
JP-06,山形県,6067,2014-02-13
JP-07,福島県,85589,2014-02-13
JP-08,茨城県,4919,2014-02-13
JP-09,栃木県,3029,2014-02-13
JP-10,群馬県,1536,2014-02-13
JP-11,埼玉県,2925,2014-02-13
JP-12,千葉県,3962,2014-02-13
JP-13,東京都,8030,2014-02-13
JP-14,神奈川県,2362,2014-02-13
JP-15,新潟県,4757,2014-02-13
JP-16,富山県,284,2014-02-13
JP-17,石川県,399,2014-02-13
JP-18,福井県,270,2014-02-13
JP-19,山梨県,748,2014-02-13
JP-20,長野県,1168,2014-02-13
JP-21,岐阜県,312,2014-02-13
JP-22,静岡県,1084,2014-02-13
JP-23,愛知県,1207,2014-02-13
JP-24,三重県,490,2014-02-13
JP-25,滋賀県,304,2014-02-13
JP-26,京都府,924,2014-02-13
JP-27,大阪府,955,2014-02-13
JP-28,兵庫県,922,2014-02-13
JP-29,奈良県,168,2014-02-13
JP-30,和歌山県,101,2014-02-13
JP-31,鳥取県,182,2014-02-13
JP-32,島根県,120,2014-02-13
JP-33,岡山県,1046,2014-02-13
JP-34,広島県,467,2014-02-13
JP-35,山口県,148,2014-02-13
JP-36,徳島県,73,2014-02-13
JP-37,香川県,94,2014-02-13
JP-38,愛媛県,184,2014-02-13
JP-39,高知県,106,2014-02-13
JP-40,福岡県,701,2014-02-13
JP-41,佐賀県,209,2014-02-13
JP-42,長崎県,143,2014-02-13
JP-43,熊本県,396,2014-02-13
JP-44,大分県,254,2014-02-13
JP-45,宮崎県,256,2014-02-13
JP-46,鹿児島県,234,2014-02-13
JP-47,沖縄県,973,2014-02-13
JP-01,北海道,2695,2014-03-13
JP-02,青森県,763,2014-03-13
JP-03,岩手県,34494,2014-03-13
JP-04,宮城県,88575,2014-03-13
JP-05,秋田県,1084,2014-03-13
JP-06,山形県,5982,2014-03-13
JP-07,福島県,84221,2014-03-13
JP-08,茨城県,4878,2014-03-13
JP-09,栃木県,3024,2014-03-13
JP-10,群馬県,1529,2014-03-13
JP-11,埼玉県,2888,2014-03-13
JP-12,千葉県,3965,2014-03-13
JP-13,東京都,7933,2014-03-13
JP-14,神奈川県,2352,2014-03-13
JP-15,新潟県,4726,2014-03-13
JP-16,富山県,284,2014-03-13
JP-17,石川県,389,2014-03-13
JP-18,福井県,262,2014-03-13
JP-19,山梨県,725,2014-03-13
JP-20,長野県,1168,2014-03-13
JP-21,岐阜県,317,2014-03-13
JP-22,静岡県,1087,2014-03-13
JP-23,愛知県,1209,2014-03-13
JP-24,三重県,489,2014-03-13
JP-25,滋賀県,299,2014-03-13
JP-26,京都府,928,2014-03-13
JP-27,大阪府,939,2014-03-13
JP-28,兵庫県,916,2014-03-13
JP-29,奈良県,166,2014-03-13
JP-30,和歌山県,100,2014-03-13
JP-31,鳥取県,183,2014-03-13
JP-32,島根県,120,2014-03-13
JP-33,岡山県,1060,2014-03-13
JP-34,広島県,467,2014-03-13
JP-35,山口県,148,2014-03-13
JP-36,徳島県,73,2014-03-13
JP-37,香川県,94,2014-03-13
JP-38,愛媛県,185,2014-03-13
JP-39,高知県,106,2014-03-13
JP-40,福岡県,700,2014-03-13
JP-41,佐賀県,207,2014-03-13
JP-42,長崎県,143,2014-03-13
JP-43,熊本県,397,2014-03-13
JP-44,大分県,254,2014-03-13
JP-45,宮崎県,236,2014-03-13
JP-46,鹿児島県,231,2014-03-13
JP-47,沖縄県,967,2014-03-13
JP-01,北海道,2657,2014-04-10
JP-02,青森県,643,2014-04-10
JP-03,岩手県,34305,2014-04-10
JP-04,宮城県,87229,2014-04-10
JP-05,秋田県,1069,2014-04-10
JP-06,山形県,5715,2014-04-10
JP-07,福島県,86409,2014-04-10
JP-08,茨城県,4761,2014-04-10
JP-09,栃木県,3005,2014-04-10
JP-10,群馬県,1511,2014-04-10
JP-11,埼玉県,2754,2014-04-10
JP-12,千葉県,3939,2014-04-10
JP-13,東京都,7957,2014-04-10
JP-14,神奈川県,2340,2014-04-10
JP-15,新潟県,4502,2014-04-10
JP-16,富山県,284,2014-04-10
JP-17,石川県,374,2014-04-10
JP-18,福井県,255,2014-04-10
JP-19,山梨県,722,2014-04-10
JP-20,長野県,1147,2014-04-10
JP-21,岐阜県,314,2014-04-10
JP-22,静岡県,1028,2014-04-10
JP-23,愛知県,1190,2014-04-10
JP-24,三重県,489,2014-04-10
JP-25,滋賀県,298,2014-04-10
JP-26,京都府,926,2014-04-10
JP-27,大阪府,919,2014-04-10
JP-28,兵庫県,920,2014-04-10
JP-29,奈良県,164,2014-04-10
JP-30,和歌山県,94,2014-04-10
JP-31,鳥取県,174,2014-04-10
JP-32,島根県,100,2014-04-10
JP-33,岡山県,1081,2014-04-10
JP-34,広島県,465,2014-04-10
JP-35,山口県,146,2014-04-10
JP-36,徳島県,71,2014-04-10
JP-37,香川県,97,2014-04-10
JP-38,愛媛県,185,2014-04-10
JP-39,高知県,106,2014-04-10
JP-40,福岡県,700,2014-04-10
JP-41,佐賀県,185,2014-04-10
JP-42,長崎県,136,2014-04-10
JP-43,熊本県,390,2014-04-10
JP-44,大分県,238,2014-04-10
JP-45,宮崎県,238,2014-04-10
JP-46,鹿児島県,218,2014-04-10
JP-47,沖縄県,942,2014-04-10
JP-01,北海道,2636,2014-05-15
JP-02,青森県,637,2014-05-15
JP-03,岩手県,33831,2014-05-15
JP-04,宮城県,85408,2014-05-15
JP-05,秋田県,1058,2014-05-15
JP-06,山形県,5441,2014-05-15
JP-07,福島県,84671,2014-05-15
JP-08,茨城県,4544,2014-05-15
JP-09,栃木県,2999,2014-05-15
JP-10,群馬県,1466,2014-05-15
JP-11,埼玉県,2675,2014-05-15
JP-12,千葉県,3935,2014-05-15
JP-13,東京都,7859,2014-05-15
JP-14,神奈川県,2270,2014-05-15
JP-15,新潟県,4443,2014-05-15
JP-16,富山県,250,2014-05-15
JP-17,石川県,368,2014-05-15
JP-18,福井県,255,2014-05-15
JP-19,山梨県,717,2014-05-15
JP-20,長野県,1105,2014-05-15
JP-21,岐阜県,312,2014-05-15
JP-22,静岡県,1020,2014-05-15
JP-23,愛知県,1182,2014-05-15
JP-24,三重県,481,2014-05-15
JP-25,滋賀県,237,2014-05-15
JP-26,京都府,921,2014-05-15
JP-27,大阪府,889,2014-05-15
JP-28,兵庫県,926,2014-05-15
JP-29,奈良県,164,2014-05-15
JP-30,和歌山県,94,2014-05-15
JP-31,鳥取県,173,2014-05-15
JP-32,島根県,94,2014-05-15
JP-33,岡山県,1103,2014-05-15
JP-34,広島県,465,2014-05-15
JP-35,山口県,144,2014-05-15
JP-36,徳島県,67,2014-05-15
JP-37,香川県,92,2014-05-15
JP-38,愛媛県,185,2014-05-15
JP-39,高知県,105,2014-05-15
JP-40,福岡県,694,2014-05-15
JP-41,佐賀県,180,2014-05-15
JP-42,長崎県,135,2014-05-15
JP-43,熊本県,360,2014-05-15
JP-44,大分県,238,2014-05-15
JP-45,宮崎県,237,2014-05-15
JP-46,鹿児島県,218,2014-05-15
JP-47,沖縄県,935,2014-05-15
JP-01,北海道,2627,2014-06-12
JP-02,青森県,627,2014-06-12
JP-03,岩手県,33221,2014-06-12
JP-04,宮城県,81923,2014-06-12
JP-05,秋田県,1042,2014-06-12
JP-06,山形県,5276,2014-06-12
JP-07,福島県,82657,2014-06-12
JP-08,茨城県,4471,2014-06-12
JP-09,栃木県,2991,2014-06-12
JP-10,群馬県,1425,2014-06-12
JP-11,埼玉県,2640,2014-06-12
JP-12,千葉県,3924,2014-06-12
JP-13,東京都,7798,2014-06-12
JP-14,神奈川県,2204,2014-06-12
JP-15,新潟県,4342,2014-06-12
JP-16,富山県,250,2014-06-12
JP-17,石川県,363,2014-06-12
JP-18,福井県,255,2014-06-12
JP-19,山梨県,713,2014-06-12
JP-20,長野県,1099,2014-06-12
JP-21,岐阜県,316,2014-06-12
JP-22,静岡県,1016,2014-06-12
JP-23,愛知県,1181,2014-06-12
JP-24,三重県,475,2014-06-12
JP-25,滋賀県,233,2014-06-12
JP-26,京都府,875,2014-06-12
JP-27,大阪府,883,2014-06-12
JP-28,兵庫県,917,2014-06-12
JP-29,奈良県,164,2014-06-12
JP-30,和歌山県,94,2014-06-12
JP-31,鳥取県,176,2014-06-12
JP-32,島根県,94,2014-06-12
JP-33,岡山県,1113,2014-06-12
JP-34,広島県,472,2014-06-12
JP-35,山口県,138,2014-06-12
JP-36,徳島県,67,2014-06-12
JP-37,香川県,92,2014-06-12
JP-38,愛媛県,185,2014-06-12
JP-39,高知県,105,2014-06-12
JP-40,福岡県,688,2014-06-12
JP-41,佐賀県,180,2014-06-12
JP-42,長崎県,135,2014-06-12
JP-43,熊本県,363,2014-06-12
JP-44,大分県,235,2014-06-12
JP-45,宮崎県,236,2014-06-12
JP-46,鹿児島県,218,2014-06-12
JP-47,沖縄県,920,2014-06-12
JP-01,北海道,2616,2014-07-10
JP-02,青森県,617,2014-07-10
JP-03,岩手県,32539,2014-07-10
JP-04,宮城県,80009,2014-07-10
JP-05,秋田県,1028,2014-07-10
JP-06,山形県,5075,2014-07-10
JP-07,福島県,81252,2014-07-10
JP-08,茨城県,4355,2014-07-10
JP-09,栃木県,2998,2014-07-10
JP-10,群馬県,1425,2014-07-10
JP-11,埼玉県,2992,2014-07-10
JP-12,千葉県,3924,2014-07-10
JP-13,東京都,7741,2014-07-10
JP-14,神奈川県,2182,2014-07-10
JP-15,新潟県,4300,2014-07-10
JP-16,富山県,250,2014-07-10
JP-17,石川県,363,2014-07-10
JP-18,福井県,255,2014-07-10
JP-19,山梨県,712,2014-07-10
JP-20,長野県,1087,2014-07-10
JP-21,岐阜県,316,2014-07-10
JP-22,静岡県,987,2014-07-10
JP-23,愛知県,1178,2014-07-10
JP-24,三重県,476,2014-07-10
JP-25,滋賀県,229,2014-07-10
JP-26,京都府,889,2014-07-10
JP-27,大阪府,881,2014-07-10
JP-28,兵庫県,922,2014-07-10
JP-29,奈良県,157,2014-07-10
JP-30,和歌山県,95,2014-07-10
JP-31,鳥取県,176,2014-07-10
JP-32,島根県,94,2014-07-10
JP-33,岡山県,1127,2014-07-10
JP-34,広島県,469,2014-07-10
JP-35,山口県,136,2014-07-10
JP-36,徳島県,67,2014-07-10
JP-37,香川県,92,2014-07-10
JP-38,愛媛県,185,2014-07-10
JP-39,高知県,105,2014-07-10
JP-40,福岡県,688,2014-07-10
JP-41,佐賀県,178,2014-07-10
JP-42,長崎県,135,2014-07-10
JP-43,熊本県,361,2014-07-10
JP-44,大分県,231,2014-07-10
JP-45,宮崎県,235,2014-07-10
JP-46,鹿児島県,215,2014-07-10
JP-47,沖縄県,889,2014-07-10
JP-01,北海道,2605,2014-08-14
JP-02,青森県,604,2014-08-14
JP-03,岩手県,32089,2014-08-14
JP-04,宮城県,78800,2014-08-14
JP-05,秋田県,1028,2014-08-14
JP-06,山形県,4913,2014-08-14
JP-07,福島県,79000,2014-08-14
JP-08,茨城県,4349,2014-08-14
JP-09,栃木県,2998,2014-08-14
JP-10,群馬県,1413,2014-08-14
JP-11,埼玉県,5639,2014-08-14
JP-12,千葉県,3916,2014-08-14
JP-13,東京都,7696,2014-08-14
JP-14,神奈川県,2154,2014-08-14
JP-15,新潟県,4275,2014-08-14
JP-16,富山県,250,2014-08-14
JP-17,石川県,363,2014-08-14
JP-18,福井県,248,2014-08-14
JP-19,山梨県,712,2014-08-14
JP-20,長野県,1085,2014-08-14
JP-21,岐阜県,313,2014-08-14
JP-22,静岡県,976,2014-08-14
JP-23,愛知県,1178,2014-08-14
JP-24,三重県,461,2014-08-14
JP-25,滋賀県,227,2014-08-14
JP-26,京都府,886,2014-08-14
JP-27,大阪府,878,2014-08-14
JP-28,兵庫県,923,2014-08-14
JP-29,奈良県,161,2014-08-14
JP-30,和歌山県,95,2014-08-14
JP-31,鳥取県,175,2014-08-14
JP-32,島根県,96,2014-08-14
JP-33,岡山県,1137,2014-08-14
JP-34,広島県,465,2014-08-14
JP-35,山口県,129,2014-08-14
JP-36,徳島県,66,2014-08-14
JP-37,香川県,91,2014-08-14
JP-38,愛媛県,185,2014-08-14
JP-39,高知県,102,2014-08-14
JP-40,福岡県,705,2014-08-14
JP-41,佐賀県,174,2014-08-14
JP-42,長崎県,135,2014-08-14
JP-43,熊本県,361,2014-08-14
JP-44,大分県,236,2014-08-14
JP-45,宮崎県,232,2014-08-14
JP-46,鹿児島県,212,2014-08-14
JP-47,沖縄県,886,2014-08-14
JP-01,北海道,2589,2014-09-11
JP-02,青森県,594,2014-09-11
